# Rasgos activos de la red NNUE, calculados por Vigía: el sentido A del vector dorado.
# generador indices --semilla 20260911 — 100 partidas aleatorias.
# Una línea por posición: categoría|fen|rasgos vistos por las blancas|rasgos vistos por las negras
coronacion|8/6P1/3K4/8/k7/8/8/8 w - - 3 73|54 363 728|352 398 723
coronacion|8/2K3P1/8/8/k7/8/8/8 b - - 4 73|54 370 728|352 398 714
coronacion|8/2K3P1/8/8/8/1k6/8/8 w - - 5 74|54 370 721|361 398 714
coronacion|2K5/6P1/8/8/8/1k6/8/8 b - - 6 74|54 378 721|361 398 706
coronacion|2K5/6P1/8/8/8/2k5/8/8 w - - 7 75|54 378 722|362 398 706
coronacion|8/2K3P1/8/8/8/2k5/8/8 b - - 8 75|54 370 722|362 398 714
coronacion|8/2K3P1/8/8/8/8/1k6/8 w - - 9 76|54 370 713|369 398 714
coronacion|8/6P1/3K4/8/8/8/1k6/8 b - - 10 76|54 363 713|369 398 723
coronacion|8/6P1/3K4/8/8/8/8/k7 w - - 11 77|54 363 704|376 398 723
coronacion|8/2K3P1/8/8/8/8/8/k7 b - - 12 77|54 370 704|376 398 714
coronacion|8/1K4P1/8/8/8/8/1k6/8 b - - 14 78|54 369 713|369 398 713
coronacion|8/1K4P1/8/8/8/2k5/8/8 w - - 15 79|54 369 722|362 398 713
coronacion|8/8/4p2k/2nb2p1/8/3p3K/p7/8 w - - 0 51|343 392 403 422 428 482 547 751|20 30 43 48 90 155 343 751
coronacion|8/8/4p2k/2nb2p1/6K1/3p4/p7/8 b - - 1 51|350 392 403 422 428 482 547 751|20 30 43 48 90 155 343 742
coronacion|8/8/7k/2nbp1p1/6K1/3p4/p7/8 w - - 0 52|350 392 403 420 422 482 547 751|28 30 43 48 90 155 343 742
coronacion|8/8/7k/2nbp1p1/8/3p3K/p7/8 b - - 1 52|343 392 403 420 422 482 547 751|28 30 43 48 90 155 343 751
coronacion|8/8/2b4k/2n1p1p1/8/3p3K/p7/8 w - - 2 53|343 392 403 420 422 482 554 751|28 30 43 48 90 146 343 751
coronacion|8/8/2b4k/2n1p1p1/8/3p2K1/p7/8 b - - 3 53|342 392 403 420 422 482 554 751|28 30 43 48 90 146 343 750
coronacion|8/8/2b4k/4p1p1/8/1n1p2K1/p7/8 w - - 4 54|342 392 403 420 422 465 554 751|28 30 43 48 105 146 343 750
coronacion|8/8/2b4k/4p1p1/8/1n1p3K/p7/8 b - - 5 54|343 392 403 420 422 465 554 751|28 30 43 48 105 146 343 751
coronacion|8/7k/2b5/4p1p1/8/1n1p3K/p7/8 w - - 6 55|343 392 403 420 422 465 554 759|28 30 43 48 105 146 335 751
coronacion|8/7k/2b5/4p1p1/8/1n1p2K1/p7/8 b - - 7 55|342 392 403 420 422 465 554 759|28 30 43 48 105 146 335 750
coronacion|7k/8/2b5/4p1p1/8/1n1p2K1/p7/8 w - - 8 56|342 392 403 420 422 465 554 767|28 30 43 48 105 146 327 750
coronacion|7k/8/2b5/4p1p1/6K1/1n1p4/p7/8 b - - 9 56|350 392 403 420 422 465 554 767|28 30 43 48 105 146 327 742
coronacion|8/6k1/2b5/4p1p1/6K1/1n1p4/p7/8 w - - 10 57|350 392 403 420 422 465 554 758|28 30 43 48 105 146 334 742
coronacion|8/6k1/2b5/4pKp1/8/1n1p4/p7/8 b - - 11 57|357 392 403 420 422 465 554 758|28 30 43 48 105 146 334 733
coronacion|8/6k1/8/4pKp1/b7/1n1p4/p7/8 w - - 12 58|357 392 403 420 422 465 536 758|28 30 43 48 105 160 334 733
coronacion|8/6k1/8/4K1p1/b7/1n1p4/p7/8 b - - 0 58|356 392 403 422 465 536 758|30 43 48 105 160 334 732
coronacion|2K5/8/8/8/8/8/3k2p1/8 w - - 0 104|378 398 715|54 371 706
coronacion|8/1K6/8/8/8/8/3k2p1/8 b - - 1 104|369 398 715|54 371 713
coronacion|2K5/1P6/3k4/8/6p1/8/8/8 b - - 0 58|49 378 414 747|38 339 393 706
coronacion|2K5/1P6/3k4/8/8/6p1/8/8 w - - 0 59|49 378 406 747|46 339 393 706
coronacion|8/8/1K6/3k4/8/8/6p1/8 w - - 0 69|361 398 739|54 347 721
coronacion|8/1K6/8/3k4/8/8/6p1/8 b - - 1 69|369 398 739|54 347 713
coronacion|8/1K6/3k4/8/8/8/6p1/8 w - - 2 70|369 398 747|54 339 713
coronacion|8/K7/3k4/8/8/8/6p1/8 b - - 3 70|368 398 747|54 339 712
coronacion|8/K7/4k3/8/8/8/6p1/8 w - - 4 71|368 398 748|54 340 712
coronacion|K7/8/4k3/8/8/8/6p1/8 b - - 5 71|376 398 748|54 340 704
coronacion|K7/3k4/8/8/8/8/6p1/8 w - - 6 72|376 398 755|54 331 704
coronacion|8/1K1k4/8/8/8/8/6p1/8 b - - 7 72|369 398 755|54 331 713
coronacion|3k4/1K6/8/8/8/8/6p1/8 w - - 8 73|369 398 763|54 323 713
coronacion|3k4/8/2K5/8/8/8/6p1/8 b - - 9 73|362 398 763|54 323 722
coronacion|B7/4K3/8/4bP2/k7/3P4/2p5/8 w - - 0 54|19 37 184 372 394 548 728|50 156 352 413 427 512 716
coronacion|8/4K3/8/3BbP2/k7/3P4/2p5/8 b - - 1 54|19 37 163 372 394 548 728|50 156 352 413 427 539 716
coronacion|8/4K3/8/3BbP2/8/k2P4/2p5/8 w - - 2 55|19 37 163 372 394 548 720|50 156 360 413 427 539 716
coronacion|8/4KB2/8/4bP2/8/k2P4/2p5/8 b - - 3 55|19 37 181 372 394 548 720|50 156 360 413 427 525 716
coronacion|8/4KBb1/8/5P2/8/k2P4/2p5/8 w - - 4 56|19 37 181 372 394 566 720|50 142 360 413 427 525 716
coronacion|8/4K1b1/8/5P1B/8/k2P4/2p5/8 b - - 5 56|19 37 167 372 394 566 720|50 142 360 413 427 543 716
coronacion|8/4K1b1/8/5P1B/8/3P4/1kp5/8 w - - 6 57|19 37 167 372 394 566 713|50 142 369 413 427 543 716
coronacion|8/5Kb1/8/5P1B/8/3P4/1kp5/8 b - - 7 57|19 37 167 373 394 566 713|50 142 369 413 427 543 717
coronacion|8/5Kb1/8/5P1B/8/1k1P4/2p5/8 w - - 8 58|19 37 167 373 394 566 721|50 142 361 413 427 543 717
coronacion|8/5Kb1/8/5P2/8/1k1P1B2/2p5/8 b - - 9 58|19 37 149 373 394 566 721|50 142 361 413 427 557 717
coronacion|8/5K2/5b2/5P2/8/1k1P1B2/2p5/8 w - - 10 59|19 37 149 373 394 557 721|50 149 361 413 427 557 717
coronacion|8/8/5K2/5P2/8/1k1P1B2/2p5/8 b - - 0 59|19 37 149 365 394 721|50 361 413 427 557 725
coronacion|8/8/5K2/5P2/8/2kP1B2/2p5/8 w - - 1 60|19 37 149 365 394 722|50 362 413 427 557 725
coronacion|8/8/5K2/5P2/8/2kP4/2p5/7B b - - 2 60|19 37 135 365 394 722|50 362 413 427 575 725
coronacion|8/8/5K2/5P2/8/3k4/2p5/7B w - - 0 61|37 135 365 394 723|50 363 413 575 725
coronacion|8/8/5K2/5P2/8/3k4/2p3B1/8 b - - 1 61|37 142 365 394 723|50 363 413 566 725
coronacion|3rk3/P7/3p4/1n6/6p1/5n2/4K3/8 b - - 0 46|48 332 414 427 469 481 635 764|19 38 89 109 195 324 392 756
coronacion|k7/8/1n6/8/8/8/3p2K1/8 w - - 0 119|334 395 489 760|51 81 320 758
coronacion|k7/8/1n6/8/8/6K1/3p4/8 b - - 1 119|342 395 489 760|51 81 320 750
coronacion|k7/8/8/8/n7/6K1/3p4/8 w - - 2 120|342 395 472 760|51 96 320 750
coronacion|k7/8/8/8/n6K/8/3p4/8 b - - 3 120|351 395 472 760|51 96 320 743
coronacion|BR6/6k1/8/2N4p/4P3/P7/P4p2/7K w - - 0 30|8 16 28 98 184 249 327 397 423 758|31 53 334 420 424 432 474 512 577 767
coronacion|B6R/6k1/8/2N4p/4P3/P7/P4p2/7K b - - 1 30|8 16 28 98 184 255 327 397 423 758|31 53 334 420 424 432 474 512 583 767
coronacion|B6k/8/8/2N4p/4P3/P7/P4p2/7K w - - 0 31|8 16 28 98 184 327 397 423 767|31 53 327 420 424 432 474 512 767
coronacion|B6k/8/8/2N4p/P3P3/8/P4p2/7K b - - 0 31|8 24 28 98 184 327 397 423 767|31 53 327 416 420 432 474 512 767
coronacion|B7/7k/8/2N4p/P3P3/8/P4p2/7K w - - 1 32|8 24 28 98 184 327 397 423 759|31 53 335 416 420 432 474 512 767
coronacion|B7/7k/8/P1N4p/4P3/8/P4p2/7K b - - 0 32|8 28 32 98 184 327 397 423 759|31 53 335 408 420 432 474 512 767
coronacion|B7/8/7k/P1N4p/4P3/8/P4p2/7K w - - 1 33|8 28 32 98 184 327 397 423 751|31 53 343 408 420 432 474 512 767
coronacion|B7/8/4N2k/P6p/4P3/8/P4p2/7K b - - 2 33|8 28 32 108 184 327 397 423 751|31 53 343 408 420 432 468 512 767
coronacion|5k2/4P3/8/P6B/8/8/P7/7K b - - 0 44|8 32 52 167 327 765|325 396 408 432 543 767
coronacion|8/P7/2k5/8/8/8/8/2K2B2 b - - 0 72|48 133 322 746|338 392 573 762
coronacion|8/P7/8/3k4/8/8/8/2K2B2 w - - 1 73|48 133 322 739|347 392 573 762
coronacion|3k4/8/6pp/8/8/7K/2p5/3r4 w - - 0 44|343 394 430 431 579 763|22 23 50 251 323 751
coronacion|3k4/8/6pp/8/7K/8/2p5/3r4 b - - 1 44|351 394 430 431 579 763|22 23 50 251 323 743
coronacion|3k4/3r4/6pp/8/7K/8/2p5/8 w - - 2 45|351 394 430 431 627 763|22 23 50 203 323 743
coronacion|3k4/3r4/6pp/8/6K1/8/2p5/8 b - - 3 45|350 394 430 431 627 763|22 23 50 203 323 742
coronacion|2k5/3r4/6pp/8/6K1/8/2p5/8 w - - 4 46|350 394 430 431 627 762|22 23 50 203 322 742
coronacion|2k5/3r4/6pp/8/8/5K2/2p5/8 b - - 5 46|341 394 430 431 627 762|22 23 50 203 322 749
coronacion|3k4/3r4/6pp/8/8/5K2/2p5/8 w - - 6 47|341 394 430 431 627 763|22 23 50 203 323 749
coronacion|3k4/r7/6pp/8/6K1/8/2p5/8 w - - 8 48|350 394 430 431 624 763|22 23 50 200 323 742
coronacion|3k4/r7/6pp/8/8/7K/2p5/8 b - - 9 48|343 394 430 431 624 763|22 23 50 200 323 751
coronacion|3k4/3r4/6pp/8/8/7K/2p5/8 w - - 10 49|343 394 430 431 627 763|22 23 50 203 323 751
coronacion|3k4/8/6pp/3r4/6K1/8/2p5/8 w - - 12 50|350 394 430 431 611 763|22 23 50 219 323 742
coronacion|3k4/8/6pp/3r4/8/5K2/2p5/8 b - - 13 50|341 394 430 431 611 763|22 23 50 219 323 749
coronacion|8/3k4/6pp/3r4/8/5K2/2p5/8 w - - 14 51|341 394 430 431 611 755|22 23 50 219 331 749
coronacion|8/3k4/6pp/3r4/8/6K1/2p5/8 b - - 15 51|342 394 430 431 611 755|22 23 50 219 331 750
coronacion|8/3k4/7p/3r2p1/8/6K1/2p5/8 w - - 0 52|342 394 422 431 611 755|23 30 50 219 331 750
coronacion|8/3k4/7p/3r2p1/6K1/8/2p5/8 b - - 1 52|350 394 422 431 611 755|23 30 50 219 331 742
coronacion|8/3k4/7p/6p1/6K1/3r4/2p5/8 w - - 2 53|350 394 422 431 595 755|23 30 50 235 331 742
coronacion|8/3k4/7p/6pK/8/3r4/2p5/8 b - - 3 53|359 394 422 431 595 755|23 30 50 235 331 735
coronacion|3k4/8/7p/6pK/8/3r4/2p5/8 w - - 4 54|359 394 422 431 595 763|23 30 50 235 323 735
coronacion|3k4/8/7p/6p1/6K1/3r4/2p5/8 b - - 5 54|350 394 422 431 595 763|23 30 50 235 323 742
coronacion|5B2/6K1/3NR3/p7/8/6k1/P2p4/8 w - - 0 50|8 107 189 236 374 395 416 726|24 51 366 432 467 517 596 718
coronacion|5B2/5NK1/4R3/p7/8/6k1/P2p4/8 b - - 1 50|8 117 189 236 374 395 416 726|24 51 366 432 461 517 596 718
coronacion|8/7P/1N6/5kP1/8/8/8/5K2 b - - 0 91|38 55 105 325 741|349 399 414 465 765
coronacion|8/7P/1N6/6P1/5k2/8/8/5K2 w - - 1 92|38 55 105 325 733|357 399 414 465 765
coronacion|8/7P/8/6P1/2N2k2/8/8/5K2 b - - 2 92|38 55 90 325 733|357 399 414 482 765
coronacion|8/7P/8/6k1/2N5/8/8/5K2 w - - 0 93|55 90 325 742|350 399 482 765
coronacion|8/7P/8/6k1/8/N7/8/5K2 b - - 1 93|55 80 325 742|350 399 488 765
coronacion|8/7P/5k2/8/8/N7/8/5K2 w - - 2 94|55 80 325 749|341 399 488 765
coronacion|8/7P/5k2/8/8/N7/5K2/8 b - - 3 94|55 80 333 749|341 399 488 757
coronacion|8/7P/8/4k3/8/N7/5K2/8 w - - 4 95|55 80 333 740|348 399 488 757
coronacion|8/8/4k1p1/3p2P1/P7/8/2N1p3/5K2 w - - 0 44|24 38 74 325 396 419 430 748|22 27 52 340 414 416 498 765
coronacion|8/P7/6p1/6P1/2k5/8/5K2/8 b - - 0 65|38 48 333 430 730|22 354 392 414 757
coronacion|8/P7/6p1/3k2P1/8/8/5K2/8 w - - 1 66|38 48 333 430 739|22 347 392 414 757
coronacion|8/P7/6p1/3k2P1/8/8/4K3/8 b - - 2 66|38 48 332 430 739|22 347 392 414 756
coronacion|8/P7/2k3p1/6P1/8/8/4K3/8 w - - 3 67|38 48 332 430 746|22 338 392 414 756
coronacion|8/P7/2k3p1/6P1/8/5K2/8/8 b - - 4 67|38 48 341 430 746|22 338 392 414 749
coronacion|8/P7/6p1/3k2P1/8/5K2/8/8 w - - 5 68|38 48 341 430 739|22 347 392 414 749
coronacion|1nb2k2/r7/8/pB6/8/5P2/P1Pp2P1/3QK3 w - - 0 20|8 10 14 21 161 259 324 395 416 505 570 624 765|24 51 65 130 200 325 429 432 434 438 537 699 764
coronacion|5k2/8/8/8/2P5/8/p2K4/8 w - - 0 36|26 331 392 765|48 325 418 755
coronacion|5k2/8/8/8/2P5/8/p3K3/8 b - - 1 36|26 332 392 765|48 325 418 756
coronacion|6k1/8/8/8/2P5/8/p3K3/8 w - - 2 37|26 332 392 766|48 326 418 756
coronacion|6k1/8/8/8/2P5/8/p7/4K3 b - - 3 37|26 324 392 766|48 326 418 764
coronacion|8/6k1/8/8/2P5/8/p7/4K3 w - - 4 38|26 324 392 758|48 334 418 764
coronacion|8/6k1/8/8/2P5/8/p7/5K2 b - - 5 38|26 325 392 758|48 334 418 765
coronacion|5k2/8/8/8/2P5/8/p7/5K2 w - - 6 39|26 325 392 765|48 325 418 765
coronacion|8/7P/1p3k2/8/2K2n2/4p3/8/8 b - - 0 47|55 346 404 425 477 749|17 44 101 341 399 738
coronacion|8/7P/1p3k2/7n/2K5/4p3/8/8 w - - 1 48|55 346 404 425 487 749|17 44 95 341 399 738
coronacion|8/8/8/5k2/8/B7/1p1K4/8 w - - 0 73|144 331 393 741|49 349 552 755
coronacion|1n4n1/3pP2p/1pk5/8/2p4K/8/8/8 b - - 0 38|52 351 410 425 435 439 505 510 746|11 15 17 34 65 70 338 396 743
coronacion|1n4n1/4P2p/1pk5/3p4/2p3K1/8/8/8 b - - 1 39|52 350 410 419 425 439 505 510 746|15 17 27 34 65 70 338 396 742
coronacion|1n4n1/4P2p/2k5/1p1p4/2p3K1/8/8/8 w - - 0 40|52 350 410 417 419 439 505 510 746|15 25 27 34 65 70 338 396 742
coronacion|1n4n1/4P2p/2k5/1p1p4/2p5/7K/8/8 b - - 1 40|52 343 410 417 419 439 505 510 746|15 25 27 34 65 70 338 396 751
coronacion|1n4n1/4P2p/2k5/3p4/1pp5/7K/8/8 w - - 0 41|52 343 409 410 419 439 505 510 746|15 27 33 34 65 70 338 396 751
coronacion|1n4n1/4P2p/2k5/3p4/1pp3K1/8/8/8 b - - 1 41|52 350 409 410 419 439 505 510 746|15 27 33 34 65 70 338 396 742
coronacion|2K5/8/1k6/2n5/1p1p4/1n6/2p5/8 w - - 0 62|378 394 409 411 465 482 745|33 35 50 90 105 337 706
coronacion|1K6/8/1k6/2n5/1p1p4/1n6/2p5/8 b - - 1 62|377 394 409 411 465 482 745|33 35 50 90 105 337 705
coronacion|1K6/8/k7/2n5/1p1p4/1n6/2p5/8 w - - 2 63|377 394 409 411 465 482 744|33 35 50 90 105 336 705
coronacion|2K5/8/k7/2n5/1p1p4/1n6/2p5/8 b - - 3 63|378 394 409 411 465 482 744|33 35 50 90 105 336 706
coronacion|2K5/8/k7/2n5/1p1p4/8/2p5/2n5 w - - 4 64|378 394 409 411 450 482 744|33 35 50 90 122 336 706
coronacion|3K4/8/k7/2n5/1p1p4/8/2p5/2n5 b - - 5 64|379 394 409 411 450 482 744|33 35 50 90 122 336 707
coronacion|3K4/3n4/k7/8/1p1p4/8/2p5/2n5 w - - 6 65|379 394 409 411 450 499 744|33 35 50 75 122 336 707
coronacion|8/3K4/k7/8/1p1p4/8/2p5/2n5 b - - 0 65|371 394 409 411 450 744|33 35 50 122 336 715
coronacion|8/3K4/8/k7/1p1p4/8/2p5/2n5 w - - 1 66|371 394 409 411 450 736|33 35 50 122 344 715
coronacion|4K3/8/8/k7/1p1p4/8/2p5/2n5 b - - 2 66|380 394 409 411 450 736|33 35 50 122 344 708
coronacion|4K3/8/8/k7/3p4/1p6/2p5/2n5 w - - 0 67|380 394 401 411 450 736|35 41 50 122 344 708
coronacion|8/3K4/8/k7/3p4/1p6/2p5/2n5 b - - 1 67|371 394 401 411 450 736|35 41 50 122 344 715
coronacion|8/3K4/8/k7/3p4/1p6/2p1n3/8 w - - 2 68|371 394 401 411 460 736|35 41 50 116 344 715
coronacion|4K3/8/8/k7/3p4/1p6/2p1n3/8 b - - 3 68|380 394 401 411 460 736|35 41 50 116 344 708
coronacion|8/6K1/8/k7/8/3p4/1p2n3/4q3 w - - 0 76|374 393 403 460 644 736|43 49 116 316 344 718
coronacion|8/5K2/8/k7/8/3p4/1p2n3/4q3 b - - 1 76|373 393 403 460 644 736|43 49 116 316 344 717
coronacion|8/5K2/8/k7/8/3p4/1p2nq2/8 w - - 2 77|373 393 403 460 653 736|43 49 116 309 344 717
coronacion|8/6K1/8/k7/8/3p4/1p2nq2/8 b - - 3 77|374 393 403 460 653 736|43 49 116 309 344 718
coronacion|8/6K1/8/k7/5n2/3p4/1p3q2/8 w - - 4 78|374 393 403 477 653 736|43 49 101 309 344 718
coronacion|8/8/7K/k7/5n2/3p4/1p3q2/8 b - - 5 78|367 393 403 477 653 736|43 49 101 309 344 727
coronacion|8/8/7K/k7/5n2/3p4/1p6/4q3 w - - 6 79|367 393 403 477 644 736|43 49 101 316 344 727
coronacion|8/6K1/8/k7/5n2/3p4/1p6/4q3 b - - 7 79|374 393 403 477 644 736|43 49 101 316 344 718
coronacion|8/6K1/8/k7/5n2/3p4/1p1q4/8 w - - 8 80|374 393 403 477 651 736|43 49 101 307 344 718
coronacion|5K2/8/8/k7/5n2/3p4/1p1q4/8 b - - 9 80|381 393 403 477 651 736|43 49 101 307 344 709
coronacion|5K2/8/1k6/8/5n2/3p4/1p1q4/8 w - - 10 81|381 393 403 477 651 745|43 49 101 307 337 709
coronacion|8/6K1/1k6/8/5n2/3p4/1p1q4/8 b - - 11 81|374 393 403 477 651 745|43 49 101 307 337 718
coronacion|8/6K1/1k6/8/1q3n2/3p4/1p6/8 w - - 12 82|374 393 403 477 665 745|43 49 101 289 337 718
coronacion|8/8/1k3K2/8/1q3n2/3p4/1p6/8 b - - 13 82|365 393 403 477 665 745|43 49 101 289 337 725
coronacion|8/8/1k3K2/1q6/5n2/3p4/1p6/8 w - - 14 83|365 393 403 477 673 745|43 49 101 281 337 725
coronacion|8/5K2/1k6/1q6/5n2/3p4/1p6/8 b - - 15 83|373 393 403 477 673 745|43 49 101 281 337 717
coronacion|8/2k2K2/8/1q6/5n2/3p4/1p6/8 w - - 16 84|373 393 403 477 673 754|43 49 101 281 330 717
coronacion|6K1/2k5/8/1q6/5n2/3p4/1p6/8 b - - 17 84|382 393 403 477 673 754|43 49 101 281 330 710
coronacion|6K1/2k5/4n3/1q6/8/3p4/1p6/8 w - - 18 85|382 393 403 492 673 754|43 49 84 281 330 710
coronacion|7K/2k5/4n3/1q6/8/3p4/1p6/8 b - - 19 85|383 393 403 492 673 754|43 49 84 281 330 711
coronacion|1k5K/8/4n3/1q6/8/3p4/1p6/8 w - - 20 86|383 393 403 492 673 761|43 49 84 281 321 711
coronacion|1k4K1/8/4n3/1q6/8/3p4/1p6/8 b - - 21 86|382 393 403 492 673 761|43 49 84 281 321 710
coronacion|1k4K1/8/4n3/5q2/8/3p4/1p6/8 w - - 22 87|382 393 403 492 677 761|43 49 84 285 321 710
coronacion|1k5K/8/4n3/5q2/8/3p4/1p6/8 b - - 23 87|383 393 403 492 677 761|43 49 84 285 321 711
coronacion|1k5K/8/8/5qn1/8/3p4/1p6/8 w - - 24 88|383 393 403 486 677 761|43 49 94 285 321 711
coronacion|1k4K1/8/8/5qn1/8/3p4/1p6/8 b - - 25 88|382 393 403 486 677 761|43 49 94 285 321 710
coronacion|1k4K1/8/8/5q2/4n3/3p4/1p6/8 w - - 26 89|382 393 403 476 677 761|43 49 100 285 321 710
coronacion|1k5K/8/8/5q2/4n3/3p4/1p6/8 b - - 27 89|383 393 403 476 677 761|43 49 100 285 321 711
coronacion|3k4/1n6/6K1/8/8/1q6/q2p4/8 w - - 0 100|366 395 497 648 657 763|51 73 297 304 323 726
coronacion|3k4/1n6/8/6K1/8/1q6/q2p4/8 b - - 1 100|358 395 497 648 657 763|51 73 297 304 323 734
coronacion|3k4/1n6/8/6K1/8/q7/q2p4/8 w - - 2 101|358 395 497 648 656 763|51 73 296 304 323 734
coronacion|3k4/1n6/8/7K/8/q7/q2p4/8 b - - 3 101|359 395 497 648 656 763|51 73 296 304 323 735
coronacion|3k4/1n6/8/7K/1q6/8/q2p4/8 w - - 4 102|359 395 497 648 665 763|51 73 289 304 323 735
coronacion|3k4/1n6/6K1/8/1q6/8/q2p4/8 b - - 5 102|366 395 497 648 665 763|51 73 289 304 323 726
coronacion|3k4/1n6/6K1/8/5q2/8/q2p4/8 w - - 6 103|366 395 497 648 669 763|51 73 293 304 323 726
coronacion|3k4/1n5K/8/8/5q2/8/q2p4/8 b - - 7 103|375 395 497 648 669 763|51 73 293 304 323 719
coronacion|3k4/1n5K/8/8/5q2/q7/3p4/8 w - - 8 104|375 395 497 656 669 763|51 73 293 296 323 719
coronacion|3k3K/1n6/8/8/5q2/q7/3p4/8 b - - 9 104|383 395 497 656 669 763|51 73 293 296 323 711
coronacion|3k3K/1n6/8/8/5q2/8/3p4/2q5 w - - 10 105|383 395 497 642 669 763|51 73 293 314 323 711
coronacion|3k4/1n5K/8/8/5q2/8/3p4/2q5 b - - 11 105|375 395 497 642 669 763|51 73 293 314 323 719
coronacion|3k4/1n5K/8/8/7q/8/3p4/2q5 w - - 12 106|375 395 497 642 671 763|51 73 295 314 323 719
coronacion|3k4/1n6/6K1/8/7q/8/3p4/2q5 b - - 13 106|366 395 497 642 671 763|51 73 295 314 323 726
coronacion|3k4/1n6/6K1/6q1/8/8/3p4/2q5 w - - 14 107|366 395 497 642 678 763|51 73 286 314 323 726
coronacion|3k4/1n3K2/8/6q1/8/8/3p4/2q5 b - - 15 107|373 395 497 642 678 763|51 73 286 314 323 717
coronacion|3k4/1n3K2/8/8/5q2/8/3p4/2q5 w - - 16 108|373 395 497 642 669 763|51 73 293 314 323 717
coronacion|3k2K1/1n6/8/8/5q2/8/3p4/2q5 b - - 17 108|382 395 497 642 669 763|51 73 293 314 323 710
coronacion|3k2K1/1n6/3q4/8/8/8/3p4/2q5 w - - 18 109|382 395 497 642 683 763|51 73 275 314 323 710
coronacion|3k4/1n4K1/3q4/8/8/8/3p4/2q5 b - - 19 109|374 395 497 642 683 763|51 73 275 314 323 718
coronacion|3k4/1n4K1/2qq4/8/8/8/3p4/8 w - - 20 110|374 395 497 682 683 763|51 73 274 275 323 718
coronacion|3k3K/1n6/2qq4/8/8/8/3p4/8 b - - 21 110|383 395 497 682 683 763|51 73 274 275 323 711
coronacion|3k3K/1n6/3q4/8/8/5q2/3p4/8 w - - 22 111|383 395 497 661 683 763|51 73 275 301 323 711
coronacion|3k4/1n5K/3q4/8/8/5q2/3p4/8 b - - 23 111|375 395 497 661 683 763|51 73 275 301 323 719
coronacion|3k4/1n5K/3q4/8/8/8/3pq3/8 w - - 24 112|375 395 497 652 683 763|51 73 275 308 323 719
coronacion|3k3K/1n6/3q4/8/8/8/3pq3/8 b - - 25 112|383 395 497 652 683 763|51 73 275 308 323 711
coronacion|3k3K/1n6/3q4/8/2q5/8/3p4/8 w - - 26 113|383 395 497 666 683 763|51 73 275 290 323 711
coronacion|3k4/1n5K/3q4/8/2q5/8/3p4/8 b - - 27 113|375 395 497 666 683 763|51 73 275 290 323 719
coronacion|8/8/p4p2/2r2k2/8/8/1K5p/8 w - - 0 49|329 399 424 429 610 741|16 21 55 218 349 753
coronacion|8/8/p4p2/2r2k2/8/8/7p/1K6 b - - 1 49|321 399 424 429 610 741|16 21 55 218 349 761
coronacion|8/8/p4p2/2r3k1/8/8/7p/1K6 w - - 2 50|321 399 424 429 610 742|16 21 55 218 350 761
coronacion|8/8/p4p2/2r3k1/8/8/7p/K7 b - - 3 50|320 399 424 429 610 742|16 21 55 218 350 760
coronacion|8/8/2k5/6K1/8/1n6/p7/8 w - - 0 102|358 392 465 746|48 105 338 734
coronacion|8/8/2k3K1/8/8/1n6/p7/8 b - - 1 102|366 392 465 746|48 105 338 726
coronacion|8/1k6/8/5p2/8/8/7p/4K3 w - - 0 71|324 399 421 753|29 55 329 764
coronacion|8/1k6/8/5p2/8/8/4K2p/8 b - - 1 71|332 399 421 753|29 55 329 756
coronacion|8/1P6/8/1k6/N3P1P1/8/1K6/8 b - - 0 49|28 30 49 88 329 737|345 393 420 422 480 753
coronacion|8/1P6/8/8/k3P1P1/8/1K6/8 w - - 0 50|28 30 49 329 728|352 393 420 422 753
coronacion|8/1P6/8/8/k3P1P1/8/2K5/8 b - - 1 50|28 30 49 330 728|352 393 420 422 754
coronacion|8/1P6/8/8/4P1P1/k7/2K5/8 w - - 2 51|28 30 49 330 720|360 393 420 422 754
coronacion|8/N5P1/4P2k/1K6/8/8/8/8 b - - 0 76|44 54 112 353 751|343 398 404 456 729
coronacion|8/N5P1/4P3/1K5k/8/8/8/8 w - - 1 77|44 54 112 353 743|351 398 404 456 729
coronacion|8/N5P1/4P3/7k/K7/8/8/8 b - - 2 77|44 54 112 344 743|351 398 404 456 736
coronacion|8/N5P1/4P3/8/K6k/8/8/8 w - - 3 78|44 54 112 344 735|359 398 404 456 736
coronacion|8/N3P3/8/8/K7/4k3/8/2R5 b - - 0 100|52 112 194 344 724|364 396 456 634 736
coronacion|8/N3P3/8/8/K3k3/8/8/2R5 w - - 1 101|52 112 194 344 732|356 396 456 634 736
coronacion|8/N3P3/8/8/K3k3/8/8/4R3 b - - 2 101|52 112 196 344 732|356 396 456 636 736
coronacion|8/N3P3/8/5k2/K7/8/8/4R3 w - - 3 102|52 112 196 344 741|349 396 456 636 736
coronacion|8/N3P3/8/5k2/K7/8/8/6R1 b - - 4 102|52 112 198 344 741|349 396 456 638 736
coronacion|8/N3P3/8/8/K3k3/8/8/6R1 w - - 5 103|52 112 198 344 732|356 396 456 638 736
coronacion|8/N3P3/8/8/K3k3/8/6R1/8 b - - 6 103|52 112 206 344 732|356 396 456 630 736
coronacion|8/N3P3/8/8/K2k4/8/6R1/8 w - - 7 104|52 112 206 344 731|355 396 456 630 736
